Name,analyst_decision for RB scorer
CANCELLED,analyst_decision_false_positive
FAILED,analyst_decision_false_positive
GFX_45_DAY,analyst_decision_false_positive
L1_PASS,analyst_decision_false_positive
L2_PASS,analyst_decision_false_positive
L3_PASS,analyst_decision_false_positive
MANUAL_PASS,analyst_decision_false_positive
PASS,analyst_decision_false_positive
PASSED,analyst_decision_false_positive
RECHECKED,analyst_decision_false_positive
L2_CANCEL,analyst_decision_true_positive
L3_BLOCK,analyst_decision_true_positive
L3_CANCEL,analyst_decision_true_positive
L3_REJECT,analyst_decision_true_positive
*,analyst_decision_unknown
